time,gFx,gFy,gFz,TgF
0.001963615,0.3694,0.3550,0.6912,0.860
0.002169461,0.3655,0.3553,0.6907,0.858
0.002293231,0.3620,0.3560,0.6914,0.858
0.004005769,0.3591,0.3523,0.6954,0.858
0.005875,0.3582,0.3457,0.7005,0.859
0.008712,0.3557,0.3416,0.7161,0.870
0.009905846,0.3579,0.3352,0.7266,0.877
0.013287,0.3611,0.3416,0.7513,0.901
0.016385461,0.3613,0.3404,0.7729,0.919
0.016680923,0.3589,0.3306,0.7813,0.921
0.017979308,0.3533,0.3238,0.7853,0.920
0.019929461,0.3525,0.3173,0.7848,0.917
0.022102769,0.3522,0.3238,0.8018,0.934
0.024243,0.3525,0.3243,0.8163,0.946
0.026333461,0.3531,0.3194,0.8229,0.951
0.028467077,0.3531,0.3154,0.8283,0.954
0.038937154,0.3498,0.3208,0.8479,0.972
0.039932308,0.3450,0.3150,0.8424,0.963
0.040431615,0.3413,0.3176,0.8561,0.975
0.040852538,0.3328,0.3162,0.8745,0.988
0.041294769,0.3244,0.3179,0.8910,1.000
0.041714692,0.3196,0.3231,0.9106,1.018
0.042472846,0.3130,0.3233,0.9182,1.022
0.044687077,0.3083,0.3252,0.9294,1.032
0.048502692,0.3023,0.3279,0.9436,1.044
0.049150461,0.2968,0.3291,0.9460,1.045
0.050495615,0.2951,0.3308,0.9529,1.051
0.052859923,0.2883,0.3308,0.9604,1.056
0.054802154,0.2834,0.3264,0.9578,1.051
0.057052308,0.2790,0.3222,0.9629,1.053
0.058982461,0.2795,0.3194,0.9681,1.057
0.060368231,0.2802,0.3103,0.9704,1.057
0.065091923,0.3063,0.3023,0.9702,1.061
0.065429538,0.3039,0.2917,0.9660,1.054
0.066769154,0.2963,0.2849,0.9688,1.052
0.068654077,0.2895,0.2761,0.9702,1.049
0.070502692,0.2744,0.2705,0.9719,1.046
0.072478769,0.2392,0.2532,0.9807,1.041
0.074513769,0.2355,0.2385,0.9729,1.029
0.098845231,0.2316,0.2231,0.9900,1.041
0.099778692,0.2333,0.2016,1.0147,1.060
0.100162461,0.2350,0.1826,1.0366,1.079
0.100469846,0.2385,0.1686,1.0582,1.098
0.100748615,0.2385,0.1549,1.0706,1.108
0.101041769,0.2394,0.1461,1.0794,1.115
0.101340615,0.2443,0.1449,1.0904,1.127
0.101624615,0.2511,0.1486,1.0914,1.130
0.101897461,0.2641,0.1545,1.0867,1.129
0.102250461,0.2765,0.1642,1.0785,1.125
0.102544308,0.2937,0.1750,1.0725,1.126
0.102837461,0.3049,0.1831,1.0674,1.125
0.103196308,0.3151,0.1918,1.0662,1.128
0.103478461,0.3252,0.2029,1.0699,1.136
0.111176923,0.3293,0.2077,1.0701,1.139
0.111784231,0.3296,0.2178,1.0765,1.147
0.112325461,0.3310,0.2307,1.0911,1.163
0.112760615,0.3310,0.2407,1.0941,1.168
0.113104615,0.3259,0.2488,1.1036,1.177
0.118437769,0.3198,0.2549,1.1092,1.182
0.118913769,0.3093,0.2661,1.1197,1.192
0.119515385,0.2970,0.2722,1.1379,1.207
0.120682769,0.2814,0.2805,1.1591,1.225
0.122917154,0.2658,0.2884,1.1810,1.244
0.124894769,0.2504,0.2979,1.2138,1.275
0.126958692,0.2338,0.3045,1.2436,1.301
0.130212308,0.2264,0.3101,1.2737,1.330
0.131671615,0.2175,0.3101,1.2949,1.349
0.133119385,0.2089,0.3079,1.3052,1.357
0.135227385,0.2006,0.3059,1.3166,1.367
0.136976846,0.1986,0.3017,1.3220,1.370
0.139152846,0.1998,0.2919,1.3179,1.365
0.141162461,0.2022,0.2822,1.3120,1.357
0.143243077,0.2030,0.2758,1.3000,1.344
0.144959308,0.2045,0.2665,1.2898,1.333
0.147167077,0.2077,0.2578,1.2795,1.322
0.149973846,0.2099,0.2504,1.2658,1.307
0.150761846,0.2194,0.2432,1.2616,1.303
0.153200308,0.2191,0.2343,1.2455,1.286
0.155158154,0.2203,0.2250,1.2318,1.271
0.156923615,0.2110,0.2162,1.2059,1.243
0.159200615,0.2106,0.2129,1.1925,1.230
0.160819615,0.2082,0.2072,1.1826,1.218
0.163159385,0.2045,0.2025,1.1703,1.205
0.165020846,0.2106,0.2008,1.1654,1.201
0.166883077,0.2091,0.2006,1.1559,1.192
0.169150692,0.2108,0.2008,1.1512,1.187
0.170922461,0.2091,0.2006,1.1419,1.178
0.172826385,0.2120,0.2008,1.1388,1.176
0.175138461,0.2079,0.2043,1.1374,1.174
0.176963385,0.2066,0.2036,1.1295,1.166
0.181507923,0.2218,0.1938,1.1181,1.156
0.182190077,0.2389,0.1762,1.0973,1.137
0.184260615,0.2716,0.1454,1.0748,1.118
0.185208846,0.3130,0.0926,1.0350,1.085
0.187587615,0.3531,0.0257,0.9851,1.047
0.189307308,0.3994,-0.0448,0.9294,1.013
0.191271308,0.4214,-0.0851,0.8866,0.985
0.193576231,0.4246,-0.0895,0.8559,0.960
0.216207692,0.4092,-0.0436,0.8395,0.935
0.216922385,0.3687,0.0367,0.8500,0.927
0.217316615,0.3044,0.1210,0.8920,0.950
0.217716538,0.2292,0.1974,0.9441,0.991
0.218117154,0.1430,0.2524,1.0035,1.045
0.218536923,0.0545,0.2968,1.0313,1.075
0.218940538,-0.0097,0.3284,1.1195,1.167
0.219488231,-0.0519,0.3424,1.1950,1.244
0.219925461,-0.0791,0.3413,1.2519,1.300
0.220331385,-0.0859,0.3291,1.2951,1.339
0.220793154,-0.0886,0.3196,1.3345,1.375
0.221210769,-0.0854,0.3052,1.3538,1.390
0.221619385,-0.0719,0.2925,1.3736,1.406
0.221999077,-0.0588,0.2719,1.3834,1.411
0.223934692,-0.0444,0.2549,1.3853,1.409
0.225234769,-0.0270,0.2348,1.3850,1.405
0.228411923,-0.0165,0.2192,1.3848,1.402
0.231009846,-0.0070,0.2050,1.3848,1.400
0.231808923,0.0017,0.1969,1.3738,1.388
0.234115692,0.0090,0.1933,1.3606,1.374
0.235292846,0.0149,0.1936,1.3462,1.360
0.237236231,0.0183,0.1969,1.3273,1.342
0.238977231,0.0200,0.2094,1.3044,1.321
0.241275385,0.0198,0.2192,1.2834,1.302
0.243266461,0.0130,0.2383,1.2653,1.288
0.246190461,0.0217,0.2426,1.2439,1.268
0.247356923,0.0291,0.2439,1.2238,1.248
0.249431308,0.0323,0.2416,1.1910,1.216
0.25174,0.0225,0.2265,0.9876,1.013
0.253222154,0.0256,0.2239,0.6670,0.704
