time,gFx,gFy,gFz,TgF
0.001150385,-0.2025,0.7222,0.6604,0.999
0.001449154,-0.1986,0.7166,0.6609,0.995
0.001658077,-0.1949,0.7130,0.6509,0.985
0.001859616,-0.1907,0.7090,0.6473,0.979
0.002042154,-0.1907,0.7086,0.6399,0.974
0.002212308,-0.1858,0.7056,0.6390,0.970
0.002374462,-0.1837,0.7042,0.6362,0.967
0.002554154,-0.1812,0.7027,0.6316,0.962
0.002714692,-0.1804,0.7030,0.6297,0.961
0.004352923,-0.1807,0.7044,0.6252,0.959
0.006305539,-0.1819,0.7076,0.6255,0.962
0.008325462,-0.1816,0.7083,0.6231,0.961
0.010305154,-0.1816,0.7093,0.6199,0.959
0.012231616,-0.1804,0.7127,0.6204,0.962
0.014189154,-0.1800,0.7156,0.6192,0.963
0.017806769,-0.1776,0.7176,0.6167,0.963
0.020462769,-0.1765,0.7191,0.6157,0.963
0.020867077,-0.1758,0.7183,0.6159,0.962
0.022364,-0.1741,0.7210,0.6189,0.966
0.024716923,-0.1732,0.7205,0.6187,0.965
0.026348923,-0.1729,0.7193,0.6255,0.969
0.028507,-0.1716,0.7191,0.6318,0.972
0.030555308,-0.1719,0.7191,0.6399,0.978
0.033757846,-0.1729,0.7183,0.6462,0.982
0.034614692,-0.1697,0.7183,0.6546,0.987
0.036777154,-0.1702,0.7144,0.6587,0.986
0.038502154,-0.1685,0.7117,0.6626,0.987
0.040615077,-0.1658,0.7081,0.6685,0.988
0.042425769,-0.1643,0.7021,0.6692,0.984
0.044460846,-0.1624,0.6990,0.6753,0.985
0.046478077,-0.1560,0.6944,0.6825,0.986
0.049844231,-0.1497,0.6883,0.6902,0.986
0.050656308,-0.1431,0.6846,0.6998,0.989
0.052595,-0.1376,0.6788,0.7054,0.989
0.055030385,-0.1331,0.6765,0.7122,0.991
0.056603077,-0.1269,0.6727,0.7228,0.995
0.058829846,-0.1211,0.6729,0.7327,1.002
0.060572231,-0.1152,0.6734,0.7533,1.017
0.062624539,-0.1101,0.6690,0.7638,1.021
0.064839692,-0.1026,0.6667,0.7684,1.022
0.067923,-0.0986,0.6643,0.7718,1.023
0.069080616,-0.1040,0.6653,0.7777,1.029
0.070799616,-0.1108,0.6672,0.7829,1.035
0.073059923,-0.1182,0.6731,0.7914,1.046
0.075084846,-0.1267,0.6821,0.7990,1.058
0.077116539,-0.1341,0.6892,0.8058,1.069
0.079350385,-0.1457,0.6968,0.8160,1.083
0.080995692,-0.1548,0.7034,0.8251,1.095
0.093389231,-0.1634,0.7063,0.8383,1.108
0.094098385,-0.1709,0.7110,0.8495,1.121
0.094477231,-0.1785,0.7139,0.8607,1.132
0.094826385,-0.1846,0.7161,0.8612,1.135
0.095338077,-0.1890,0.7179,0.8688,1.143
0.095690692,-0.1844,0.7112,0.8754,1.143
0.096009846,-0.1821,0.7076,0.8768,1.141
0.096974154,-0.1776,0.7039,0.8754,1.137
0.100643616,-0.1695,0.6970,0.8791,1.135
0.101674385,-0.1575,0.6900,0.8740,1.125
0.104984539,-0.1455,0.6783,0.8681,1.111
0.105525462,-0.1316,0.6695,0.8571,1.096
0.111138769,-0.1187,0.6609,0.8512,1.084
0.111589539,-0.1122,0.6553,0.8412,1.072
0.111866077,-0.1087,0.6538,0.8330,1.064
0.114191,-0.1050,0.6509,0.8268,1.058
0.115046077,-0.0920,0.6474,0.8158,1.046
0.129491,-0.0830,0.6489,0.8070,1.039
0.130426154,-0.0703,0.6485,0.7978,1.030
0.130897154,-0.0632,0.6476,0.7921,1.025
0.132648,-0.0591,0.6487,0.7841,1.019
0.132994154,-0.0593,0.6521,0.7813,1.019
0.133218769,-0.0525,0.6509,0.7843,1.021
0.133430385,-0.0478,0.6485,0.7855,1.020
0.133616308,-0.0498,0.6506,0.7853,1.021
0.133817231,-0.0542,0.6521,0.7769,1.016
0.136779616,-0.0498,0.6541,0.7657,1.008
0.137407385,-0.0498,0.6541,0.7438,0.992
0.139503692,-0.0446,0.6543,0.7200,0.974
0.141187077,-0.0419,0.6543,0.7137,0.969
0.143404616,-0.0405,0.6499,0.7224,0.973
0.145167923,-0.0414,0.6485,0.7310,0.978
0.147437462,-0.0659,0.6888,0.7379,1.012
0.150161462,-0.0744,0.6934,0.7317,1.011
0.151666462,-0.0656,0.6709,0.7301,0.994
0.153171923,-0.0598,0.6565,0.7254,0.980
0.155560539,-0.0493,0.6408,0.7171,0.963
0.157495616,-0.0370,0.6289,0.7076,0.947
0.159538769,-0.0244,0.6191,0.7056,0.939
0.161428308,-0.0160,0.6091,0.7073,0.934
0.163509769,-0.0134,0.6047,0.7220,0.942
0.165548231,-0.0083,0.5993,0.7281,0.943
0.168056308,0.0021,0.5947,0.7293,0.941
0.169735692,0.0107,0.5908,0.7335,0.942
0.171869154,0.0149,0.5847,0.7335,0.938
0.173332308,0.0210,0.5837,0.7179,0.925
0.176316539,0.0274,0.5795,0.6995,0.909
0.177541769,0.0222,0.5812,0.6881,0.901
0.179688539,0.0137,0.5847,0.6886,0.903
0.181525154,0.0147,0.5807,0.6883,0.901
0.194666692,0.0127,0.5781,0.6812,0.894
0.195872616,0.0105,0.5817,0.6712,0.888
0.196353462,0.0130,0.5810,0.6704,0.887
0.196789769,0.0154,0.5830,0.6590,0.880
0.197209846,0.0191,0.5835,0.6523,0.875
0.197610385,0.0170,0.5888,0.6455,0.874
0.198034769,0.0070,0.6020,0.6436,0.881
0.198454692,0.0054,0.5979,0.7401,0.951
0.200901231,-0.0097,0.6287,0.7289,0.963
0.201647692,-0.0178,0.6450,0.7181,0.965
0.204917539,-0.0351,0.6643,0.7135,0.975
0.205654077,-0.0427,0.6702,0.7054,0.974
0.207956539,-0.0441,0.6718,0.6991,0.971
0.209582462,-0.0434,0.6631,0.7125,0.974
0.211788616,-0.0481,0.6631,0.7298,0.987
0.213744231,-0.0517,0.6567,0.7256,0.980
0.216731616,-0.0593,0.6492,0.7264,0.976
0.223419,-0.0568,0.6375,0.7176,0.961
0.224145769,-0.0600,0.6287,0.7186,0.957
0.224436539,-0.0630,0.6142,0.7333,0.959
0.224715385,-0.0644,0.6028,0.7596,0.972
0.225741769,-0.0728,0.5989,0.7897,0.994
0.228137154,-0.0705,0.5884,0.7999,0.995
0.229626154,-0.0659,0.5798,0.8088,0.997
0.232011077,-0.0642,0.5786,0.8207,1.006
0.234237462,-0.0724,0.5856,0.8332,1.021
0.236786769,-0.0722,0.5876,0.8349,1.023
0.237567923,-0.0679,0.5842,0.8390,1.025
0.239953539,-0.0675,0.5891,0.8446,1.032
0.241626077,-0.0675,0.5928,0.8579,1.045
0.243752308,-0.0784,0.6028,0.8724,1.063
0.245803616,-0.0812,0.6103,0.8656,1.062
0.247679077,-0.0879,0.6213,0.8637,1.068
0.250386385,-0.0877,0.6252,0.8514,1.060
0.252063692,-0.0908,0.6320,0.8537,1.066
0.253760231,-0.0891,0.6331,0.8522,1.065
0.255852923,-0.0935,0.6350,0.8554,1.069
0.257671923,-0.0971,0.6401,0.8449,1.064
0.259782154,-0.0982,0.6371,0.8468,1.064
0.261700846,-0.0864,0.6215,0.8390,1.048
0.263655,-0.0722,0.6010,0.8330,1.030
0.267528616,-0.0649,0.5925,0.8407,1.031
0.268250692,-0.0581,0.5847,0.8414,1.026
0.270093462,-0.0617,0.5837,0.8370,1.022
0.272051,-0.0583,0.5800,0.8239,1.009
0.273796,-0.0617,0.5900,0.8111,1.005
0.276132923,-0.0666,0.5908,0.8041,1.000
0.277977769,-0.0574,0.5775,0.7929,0.983
0.279991385,-0.0446,0.5695,0.7985,0.982
0.282372616,-0.0358,0.5666,0.8065,0.986
0.294715923,-0.0314,0.5649,0.8109,0.989
